"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2012S1","Belgium","Euro","1,443.54",""
"2012S1","Bulgaria","Euro","138.05",""
"2012S1","Czechia","Euro","310.23",""
"2012S1","Denmark","Euro",":","z"
"2012S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2012S1","Estonia","Euro","290.00",""
"2012S1","Ireland","Euro","1,461.85",""
"2012S1","Greece","Euro","876.62",""
"2012S1","Spain","Euro","748.30",""
"2012S1","France","Euro","1,398.37",""
"2012S1","Croatia","Euro","373.36",""
"2012S1","Italy","Euro",":","z"
"2012S1","Cyprus","Euro",":","z"
"2012S1","Latvia","Euro","285.92",""
"2012S1","Lithuania","Euro","231.70",""
"2012S1","Luxembourg","Euro","1,801.49",""
"2012S1","Hungary","Euro","295.63",""
"2012S1","Malta","Euro","685.14",""
"2012S1","Netherlands","Euro","1,446.60",""
"2012S1","Austria","Euro",":","z"
"2012S1","Poland","Euro","336.47",""
"2012S1","Portugal","Euro","565.83",""
"2012S1","Romania","Euro","161.91",""
"2012S1","Slovenia","Euro","763.06",""
"2012S1","Slovakia","Euro","327.00",""
"2012S1","Finland","Euro",":","z"
"2012S1","Sweden","Euro",":","z"
"2013S1","Belgium","Euro","1,501.82",""
"2013S1","Bulgaria","Euro","158.50",""
"2013S1","Czechia","Euro","318.08",""
"2013S1","Denmark","Euro",":","z"
"2013S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S1","Estonia","Euro","320.00",""
"2013S1","Ireland","Euro","1,461.85",""
"2013S1","Greece","Euro","683.76",""
"2013S1","Spain","Euro","752.85",""
"2013S1","France","Euro","1,430.22",""
"2013S1","Croatia","Euro","372.35",""
"2013S1","Italy","Euro",":","z"
"2013S1","Cyprus","Euro",":","z"
"2013S1","Latvia","Euro","286.66",""
"2013S1","Lithuania","Euro","289.62",""
"2013S1","Luxembourg","Euro","1,874.19",""
"2013S1","Hungary","Euro","335.27",""
"2013S1","Malta","Euro","702.82",""
"2013S1","Netherlands","Euro","1,469.40",""
"2013S1","Austria","Euro",":","z"
"2013S1","Poland","Euro","392.73",""
"2013S1","Portugal","Euro","565.83",""
"2013S1","Romania","Euro","157.50",""
"2013S1","Slovenia","Euro","783.66",""
"2013S1","Slovakia","Euro","337.70",""
"2013S1","Finland","Euro",":","z"
"2013S1","Sweden","Euro",":","z"
"2014S1","Belgium","Euro","1,501.82",""
"2014S1","Bulgaria","Euro","173.84",""
"2014S1","Czechia","Euro","309.91",""
"2014S1","Denmark","Euro",":","z"
