Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Austria,AUT,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205
"Population, total",SP.POP.TOTL,Belgium,BEL,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11555997
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6927288
"Population, total",SP.POP.TOTL,Croatia,HRV,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047200
"Population, total",SP.POP.TOTL,Cyprus,CYP,1098089,1112617,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10698896
"Population, total",SP.POP.TOTL,Denmark,DNK,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404
"Population, total",SP.POP.TOTL,Estonia,EST,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1331057
"Population, total",SP.POP.TOTL,Finland,FIN,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5530719
"Population, total",SP.POP.TOTL,France,FRA,64707035,65027505,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67391582
"Population, total",SP.POP.TOTL,Germany,DEU,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83240525
"Population, total",SP.POP.TOTL,Greece,GRC,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10715549
"Population, total",SP.POP.TOTL,Hungary,HUN,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9749763
"Population, total",SP.POP.TOTL,Ireland,IRL,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4994724
"Population, total",SP.POP.TOTL,Italy,ITA,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59554023
"Population, total",SP.POP.TOTL,Latvia,LVA,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1901548
"Population, total",SP.POP.TOTL,Lithuania,LTU,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794700
"Population, total",SP.POP.TOTL,Luxembourg,LUX,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,632275
"Population, total",SP.POP.TOTL,Netherlands,NLD,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441139
"Population, total",SP.POP.TOTL,Poland,POL,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37950802
"Population, total",SP.POP.TOTL,Portugal,PRT,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10305564
"Population, total",SP.POP.TOTL,Romania,ROU,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19286123
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827
"Population, total",SP.POP.TOTL,Slovenia,SVN,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2100126
"Population, total",SP.POP.TOTL,Spain,ESP,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47133521,47351567
"Population, total",SP.POP.TOTL,Sweden,SWE,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442
"Population, total",SP.POP.TOTL,Malta,MLT,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,525285
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/23/2021,,,,,,,,,,,,,,,
